time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,soc
106,22.74263514831904,26.064149351293054,11.375758376019178,1005.3050109537126,0.33384170448020073,0.0,1.0000000099623048,0.6154482163823083,32.0,3.0,8.0,600.0,250.3954246917651,0.023333333333333345
107,22.76006757128181,26.079742438342066,11.511072453449344,1005.1982297235489,0.33129224840099636,0.0,1.0000000099617854,0.6154621907571686,32.0,3.0,8.0,600.0,245.77938007399072,0.021666666666666667
108,22.758745670215546,26.06761921396287,11.638179459244725,1005.1571027493134,0.3376196218741971,0.0,1.0000000099613333,0.6156434752653833,32.0,3.0,8.0,600.0,243.74705607901402,0.01999999999999999
109,22.73215560706592,26.040530144477827,11.549409177185737,1005.2785021673093,0.3420171947277629,0.0,1.0000000099618753,0.6156687900268827,32.0,3.0,8.0,600.0,248.79575308776998,0.01833333333333334
110,22.72853940894771,26.04662984889609,11.398729183643809,1005.3574422883551,0.34081677981807235,0.0,1.0000000099623492,0.6155797682071121,32.0,3.0,8.0,600.0,252.31406465438158,0.016666666666666663
111,22.740507782873294,26.070162081063927,11.3557490852495,1005.3264507601132,0.33533127384945577,0.0,1.0000000099624495,0.6154669693825837,32.0,3.0,8.0,600.0,251.3528945099048,0.014999999999999986
112,22.758870633659853,26.089479827702917,11.466581804559155,1005.2233120783503,0.3298790749817619,0.0,1.0000000099620343,0.6154099344873118,32.0,3.0,8.0,600.0,246.9680045600226,0.013333333333333336
113,22.76796988634476,26.084745009770188,11.650276325445304,1005.1285495026635,0.3360825247530389,0.0,1.0000000099612623,0.6156235187820887,32.0,3.0,8.0,600.0,242.62164602261714,0.011666666666666659
114,22.73606788459432,26.0484723513826,11.593405288789029,1005.2490122786979,0.34167544291599905,0.0,1.000000009961766,0.6156814539413757,32.0,3.0,8.0,600.0,247.56781267885341,0.010000000000000009
115,22.72817381202958,26.047599268573435,11.428248471981078,1005.3529463037712,0.341695246729606,0.0,1.0000000099622905,0.6156044195218469,32.0,3.0,8.0,600.0,252.04036570515416,0.008333333333333331
116,22.737230777251682,26.068701930064037,11.349086075294963,1005.3434988650574,0.33690427800440903,0.0,1.0000000099624937,0.6154922781296243,32.0,3.0,8.0,600.0,252.05622471631995,0.006666666666666654
117,22.755250492669006,26.09083631709234,11.426016645770233,1005.2513718514067,0.33082235064174786,0.0,1.0000000099622153,0.6154116676469981,32.0,3.0,8.0,600.0,248.22416899586383,0.0050000000000000044
118,22.76860661487285,26.093047912399186,11.608410054350998,1005.1435730412212,0.3347885422288783,0.0,1.000000009961463,0.6155806990664147,32.0,3.0,8.0,600.0,243.3727550301353,0.003333333333333355
119,22.74366147677688,26.061577435083223,11.604273447989385,1005.2229286488391,0.34086986854086704,0.0,1.0000000099617172,0.615677584693754,32.0,3.0,8.0,600.0,246.53482107445905,0.0016666666666666496
